Sel: Roul-wheel	Xov: Blend-X prob:70	Mut: Uniform prob:4

Run     Rank    SWR     Gain    F/B     F/R     R-a     X-a     Eff.    L1      W       
2-24    48      2.0888  9.01    0       0       25.687  11.735  76.41   3.3216  2.4009  
2-25    18      159.59  8.33    0       0       30.489  -489.8  75.07   2.6252  2.5481  
2-26    28      52.927  8.66    0       0       26.484  -258.7  75.97   2.9372  2.4685  
2-27    5       261.58  7.94    0       0       50.126  -806.6  74.13   2.1799  2.9894  
2-28    43      3.463   8.98    0       0       51.423  67.098  78.18   3.2013  3.3505  
2-29    15      119.25  9.34    0       0       67.461  628.67  77.12   3.8631  3.0716  
2-30    24      139.3   9.19    0       0       19.128  361.06  72.18   3.822   1.81    
2-31    20      94.776  8.42    0       0       37.36   -416.1  76.02   2.6416  2.8795  
2-32    4       827.12  7.76    0       0       14.979  -785.3  69.32   2.4857  1.5117  
2-33    1       449.95  7.44    0       0       133.12  -1725   72.72   1.3703  3.5545  
2-34    26      47.116  9.24    0       0       44.842  318.08  77.47   3.6114  2.8948  
2-35    8       191.22  7.97    0       0       64.628  -781.8  74.68   2.0508  3.4398  
2-36    30      95.188  8.63    0       0       13.798  -251    73.09   3.0488  1.739   
2-37    27      93.077  8.61    0       0       18.339  -287.3  74.47   2.9681  2.0252  
2-38    35      10.52   9.04    0       0       60.405  160.97  78.35   3.2802  3.5323  
2-39    22      86.992  9.29    0       0       39.932  411.85  76.42   3.7585  2.6172  
2-40    10      161.78  9.35    0       0       66.534  728.9   76.37   3.9689  2.8932  
2-41    41      4.3888  8.78    0       0       53.288  -83.43  77.82   2.9522  3.4848  
2-42    36      19.105  8.84    0       0       21.021  -131.1  75.62   3.1564  2.1978  
2-43    49      2.0888  9.01    0       0       25.687  11.735  76.41   3.3216  2.4009  
2-44    31      32.235  9.2     0       0       37.848  239.01  77.2    3.5511  2.7414  
2-45    50      2.0888  9.01    0       0       25.687  11.735  76.41   3.3216  2.4009  
2-46    16      453.33  8.11    0       0       15.377  -588.1  71.58   2.6499  1.6859  
2-47    19      375.79  8.25    0       0       9.1077  -410.5  68.99   2.8742  1.3128  
2-48    3       166.72  7.92    0       0       83.501  -828.6  74.71   1.8291  3.8505  
2-49    23      62.332  8.44    0       0       47.124  -377.1  76.59   2.5937  3.2561  
2-50    17      205.43  8.19    0       0       34.956  -596.1  74.82   2.4789  2.6572  
---------------------------------------------------------------------
Average :       117.9   8.717   0       0       44.37   -130    75.75   
Optimum :       2.089   9.35    0       0       50.13   11.74   78.56   
 
3-1     6       105.09  9.32    0       0       103.83  729.63  77.93   3.8189  3.6239  
3-2     29      6.3033  9.06    0       0       40.913  95.105  77.79   3.3244  2.9799  
3-3     5       177.26  9.35    0       0       66.092  760.88  75.99   4       2.8333  
3-4     25      9.4721  9.09    0       0       36.575  116.95  77.36   3.389   2.8014  
3-5     23      22.823  9.14    0       0       23.279  153.54  75.48   3.5368  2.1996  
3-6     18      28.008  8.54    0       0       54.581  -266.6  77.13   2.6682  3.5342  
3-7     45      2.791   9.03    0       0       26.217  30.674  76.47   3.3444  2.4176  
3-8     38      3.8346  8.94    0       0       27.498  -48.73  76.62   3.2208  2.5083  
3-9     36      3.463   8.98    0       0       51.423  67.098  78.18   3.2013  3.3505  
3-10    9       205.43  8.19    0       0       34.956  -596.1  74.82   2.4789  2.6572  
3-11    7       162.63  9.35    0       0       63.821  715.83  76.29   3.9676  2.8513  
3-12    24      6.732   8.97    0       0       67.407  127.07  78.41   3.1757  3.7525  
3-13    15      49.453  9.24    0       0       53.184  355.29  77.84   3.6092  3.1031  
3-14    26      7.8498  9.06    0       0       44.507  115.2   77.83   3.3273  3.0872  
3-15    42      2.6083  8.96    0       0       27.987  -30.05  76.7    3.2436  2.525   
3-16    43      2.6083  8.96    0       0       27.987  -30.05  76.7    3.2436  2.525   
3-17    30      4.8601  8.82    0       0       45.058  -82.96  77.64   3.0236  3.2158  
3-18    31      3.9686  8.98    0       0       54.371  77.574  78.27   3.1948  3.4331  
3-19    4       142.34  9.34    0       0       96.236  820.46  77.11   3.9416  3.3319  
3-20    44      2.3812  8.94    0       0       32.756  -31.86  77.15   3.2023  2.7341  
3-21    28      6.5227  9.03    0       0       51.683  109.91  78.24   3.2652  3.3259  
3-22    3       159.19  9.35    0       0       90.715  843.41  76.75   3.9832  3.1945  
3-23    19      52.671  8.66    0       0       26.812  -259.6  76      2.9331  2.484   
3-24    27      8.4824  8.86    0       0       31.936  -101.1  76.94   3.109   2.7182  
3-25    34      5.7399  8.93    0       0       23.93   -63.27  76.12   3.2289  2.3393  
3-26    12      108.48  8.45    0       0       30.701  -403.8  75.67   2.7179  2.6097  
3-27    41      2.1465  8.83    0       0       55.394  -40.83  78      3.0007  3.5339  
3-28    10      159.59  8.33    0       0       30.489  -489.8  75.07   2.6252  2.5481  
3-29    48      2.2234  8.98    0       0       25.812  -16.84  76.43   3.2799  2.4182  
3-30    50      1.7993  8.99    0       0       27.841  -1.8    76.7    3.2853  2.5077  
3-31    37      3.463   8.98    0       0       51.423  67.098  78.18   3.2013  3.3505  
3-32    20      28.013  8.68    0       0       38.027  -222.2  76.97   2.8834  2.9716  
3-33    11      89.368  9.31    0       0       54.387  487.44  77.19   3.768   2.9549  
3-34    1       564.71  7.29    0       0       160.25  -2121   71.94   1.3047  3.4206  
3-35    33      4.6759  9.04    0       0       39.053  74.316  77.68   3.308   2.9267  
3-36    32      4.6483  9.04    0       0       41.287  76.389  77.81   3.2938  3.0065  
3-37    8       186.4   9.34    0       0       54.418  708.33  75.55   4       2.6335  
3-38    14      69.768  9.28    0       0       47.644  401.83  77.18   3.7016  2.8769  
3-39    47      1.8293  8.94    0       0       35.867  -21.78  77.39   3.1916  2.8565  
3-40    17      57.077  9.25    0       0       35.052  310.38  76.59   3.6634  2.5633  
3-41    35      4.9921  9.07    0       0       27.855  62.895  76.67   3.3776  2.4767  
3-42    16      78.877  8.59    0       0       25.233  -310.5  75.56   2.8813  2.3927  
3-43    46      2.6571  9.03    0       0       26.704  28.934  76.55   3.3382  2.4413  
3-44    39      3.7765  8.94    0       0       26.998  -47.19  76.57   3.2271  2.4846  
3-45    49      2.0888  9.01    0       0       25.687  11.735  76.41   3.3216  2.4009  
3-46    2       162.18  9.35    0       0       105.43  917.27  76.85   4       3.3203  
3-47    40      4.558   8.95    0       0       19.051  -41.08  75.11   3.2983  2.0704  
3-48    21      47.926  8.74    0       0       18.806  -205.5  74.93   3.0721  2.0695  
3-49    22      32.008  8.75    0       0       25.713  -195    76.17   3.0294  2.4407  
3-50    13      108.91  8.46    0       0       29.943  -399.6  75.64   2.7297  2.5783  
---------------------------------------------------------------------
